,Date,Store Number,City,Zip Code,County Number,County,Category,Category Name,Vendor Number,Item Number,Item Description,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
247759,02/11/2015,2501,AMES,50010,85.0,Story,1022100.0,TEQUILA,395,89215,Jose Cuervo Tradicional Reposado Tequila,750,$14.90,$22.35,2,$44.70,1.5,0.4
45271,09/08/2015,2665,WAUKEE,50263,25.0,Dallas,1081230.0,WHITE CREME DE CACAO,434,78866,Paramount Creme De Cacao/white,750,$4.75,$7.13,12,$85.56,9.0,2.38
119241,06/23/2015,2228,WINTERSET,50273,61.0,Madison,1031080.0,VODKA 80 PROOF,55,35317,Barton Vodka,1000,$3.97,$5.96,12,$71.52,12.0,3.17
214048,06/09/2015,3830,CRESTON,50801,88.0,Union,1081010.0,AMERICAN AMARETTO,434,76486,Paramount Amaretto,750,$3.38,$5.07,12,$60.84,9.0,2.38
133191,02/24/2016,4568,SIOUX CITY,51108,97.0,Woodbury,1012300.0,IRISH WHISKIES,370,15628,Jameson,1750,$29.98,$44.97,1,$44.97,1.75,0.46
172149,04/22/2015,2545,IOWA CITY,52245,52.0,Johnson,1062200.0,PUERTO RICO & VIRGIN ISLANDS RUM,35,43125,Bacardi Superior Rum Pet,750,$8.00,$12.00,12,$144.00,9.0,2.38
149290,06/18/2015,3993,WATERLOO,50701,7.0,Black Hawk,1052010.0,IMPORTED GRAPE BRANDIES,420,48099,Hennessy VS,200,$5.65,$8.48,48,$407.04,9.6,2.54
183227,10/19/2015,4159,COUNCIL BLUFFS,51503,78.0,Pottawattamie,1081300.0,PEPPERMINT SCHNAPPS,434,81206,Paramount Peppermint Schnapps,750,$3.71,$5.57,12,$66.84,9.0,2.38
141999,02/02/2016,3621,SHELDON,51201,71.0,O'Brien,1032200.0,IMPORTED VODKA - MISC,65,35626,Pinnacle Whipped,750,$7.35,$11.03,1,$11.03,0.75,0.2
26699,11/10/2015,3495,MONTICELLO,52310,53.0,Jones,1051110.0,BLACKBERRY BRANDIES,434,55086,Paramount Blackberry Brandy,750,$5.48,$8.22,2,$16.44,1.5,0.4
