,Date,Store Number,City,Zip Code,County Number,County,Category,Category Name,Vendor Number,Item Number,Item Description,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
50999,01/07/2016,3456,CLEAR LAKE,50428,17.0,Cerro Gordo,1062300.0,FLAVORED RUM,260,43409,Captain Morgan Parrot Bay Coconut,1000,$9.50,$14.25,1,$14.25,1.0,0.26
228039,02/04/2015,2611,OTTUMWA,52501,90.0,Wapello,1031080.0,VODKA 80 PROOF,260,38008,Smirnoff Vodka 80 Prf Pet,1750,$14.75,$22.13,6,$132.78,10.5,2.77
194944,06/01/2015,2539,IOWA FALLS,50126,42.0,Hardin,1062300.0,FLAVORED RUM,35,43138,Bacardi Limon,1750,$15.00,$22.50,6,$135.00,10.5,2.77
245674,08/19/2015,2500,AMES,50010,85.0,Story,1081335.0,RASPBERRY SCHNAPPS,65,82836,Dekuyper Raspberry Pucker,750,$6.30,$9.45,3,$28.35,2.25,0.59
151867,09/30/2015,2667,SIOUX CITY,51104,97.0,Woodbury,1031080.0,VODKA 80 PROOF,260,38008,Smirnoff Vodka 80 Prf Pet,1750,$14.75,$22.13,6,$132.78,10.5,2.77
199928,12/21/2015,2556,ESTHERVILLE,51334,32.0,Emmet,1081200.0,CREAM LIQUEURS,300,65199,Tequila Rose Liqueur,1000,$11.50,$17.25,2,$34.50,2.0,0.53
117276,03/10/2015,4576,ARNOLDS PARK,51331,30.0,Dickinson,1012100.0,CANADIAN WHISKIES,115,11776,Black Velvet,750,$5.23,$7.85,12,$94.20,9.0,2.38
41199,07/16/2015,4613,CARROLL,51401,14.0,Carroll,1031080.0,VODKA 80 PROOF,434,36305,Hawkeye Vodka,750,$3.34,$5.01,24,$120.24,18.0,4.76
257170,07/16/2015,2106,CEDAR FALLS,50613,7.0,Black Hawk,1081330.0,PEACH SCHNAPPS,65,82847,Dekuyper Peachtree,1000,$7.62,$11.43,12,$137.16,12.0,3.17
264161,03/08/2016,5166,MARSHALLTOWN,50158,64.0,Marshall,1082900.0,MISC. IMPORTED CORDIALS & LIQUEURS,192,65253,Jagermeister Liqueur,200,$3.51,$5.27,4,$21.08,0.8,0.21
79403,09/14/2015,4984,MUSCATINE,52761,70.0,Muscatine,1012100.0,CANADIAN WHISKIES,115,11586,Black Velvet Reserve,750,$7.00,$10.50,3,$31.50,2.25,0.59
258707,12/18/2015,4312,COUNCIL BLUFFS,51501,78.0,Pottawattamie,1081312.0,BUTTERSCOTCH SCHNAPPS,380,83363,Ice Hole Butterscotch Schnapps,750,$5.15,$7.73,12,$92.76,9.0,2.38
101219,12/14/2015,4742,COUNCIL BLUFFS,51501,78.0,Pottawattamie,1062310.0,SPICED RUM,259,44258,Blackheart Premium Spiced Rum,750,$7.94,$11.91,12,$142.92,9.0,2.38
95140,03/21/2016,5142,CEDAR RAPIDS,52303,57.0,Linn,1011200.0,STRAIGHT BOURBON WHISKIES,65,27783,Jim Beam Apple,750,$10.49,$15.74,2,$31.48,1.5,0.4
151956,11/18/2015,3926,IOWA CITY,52240,52.0,Johnson,1062310.0,SPICED RUM,260,43418,Captain Morgan Tattoo,750,$9.00,$13.50,3,$40.50,2.25,0.59
149297,09/01/2015,4167,DUBUQUE,52001,31.0,Dubuque,1062310.0,SPICED RUM,240,45886,Sailor Jerry Spiced Navy Rum,750,$9.65,$14.48,3,$43.44,2.25,0.59
146846,08/24/2015,3606,GRUNDY CENTER,50638,38.0,Grundy,1081900.0,MISC. AMERICAN CORDIALS & LIQUEURS,322,75214,Kinky Blue,750,$10.00,$15.00,1,$15.00,0.75,0.2
244583,07/28/2015,4559,OSAGE,50461,66.0,Mitchell,1062300.0,FLAVORED RUM,35,43066,Bacardi Peach Red,750,$8.26,$12.39,2,$24.78,1.5,0.4
84487,06/16/2015,2602,WEBSTER CITY,50595,40.0,Hamilton,1062310.0,SPICED RUM,259,43022,Admiral Nelson Spiced Rum Mini,500,$3.78,$5.67,2,$11.34,1.0,0.26
94404,01/08/2015,2612,PERRY,50220,25.0,Dallas,1012200.0,SCOTCH WHISKIES,370,9426,Passport Scotch,750,$6.99,$10.49,3,$31.47,2.25,0.59
98533,05/05/2015,4733,URBANDALE,50322,77.0,Polk,1031080.0,VODKA 80 PROOF,434,36302,Hawkeye Vodka,200,$1.15,$1.73,96,$166.08,19.2,5.07
96940,08/19/2015,4202,SIOUX CITY,51106,97.0,Woodbury,1022100.0,TEQUILA,65,88556,Sauza Blanco Silver,750,$9.45,$14.18,3,$42.54,2.25,0.59
68372,03/02/2015,2662,MUSCATINE,52761,70.0,Muscatine,1062200.0,PUERTO RICO & VIRGIN ISLANDS RUM,35,43128,Bacardi Superior Rum,1750,$13.50,$21.00,6,$126.00,10.5,2.77
94266,01/05/2016,3621,SHELDON,51201,71.0,O'Brien,1012100.0,CANADIAN WHISKIES,971,14199,Pendleton Canadian Whisky,1750,$24.08,$36.12,1,$36.12,1.75,0.46
91012,03/16/2016,2513,IOWA CITY,52240,52.0,Johnson,1081200.0,CREAM LIQUEURS,300,65200,Tequila Rose Liqueur,750,$9.49,$14.24,4,$56.96,3.0,0.79
252181,06/15/2015,4874,MOUNT PLEASANT,52641,44.0,Henry,1011200.0,STRAIGHT BOURBON WHISKIES,65,19063,Jim Beam,200,$3.41,$5.12,4,$20.48,0.8,0.21
144997,04/21/2015,2620,WINDSOR HEIGHTS,50311,77.0,Polk,1081600.0,WHISKEY LIQUEUR,421,64864,Fireball Cinnamon Whisky,375,$5.33,$8.00,1,$8.00,0.38,0.1
208200,05/12/2015,4236,EAGLE GROVE,50533,99.0,Wright,1031080.0,VODKA 80 PROOF,434,36306,Hawkeye Vodka,750,$3.34,$5.01,12,$60.12,9.0,2.38
201553,03/07/2016,4467,MUSCATINE,52761,70.0,Muscatine,1012100.0,CANADIAN WHISKIES,115,11771,Black Velvet Mini,600,$6.80,$10.20,1,$10.20,0.6,0.16
88747,03/30/2015,2514,MARION,50129,57.0,Linn,1062300.0,FLAVORED RUM,370,42712,Malibu Coconut Rum Mini,500,$4.95,$7.43,1,$7.43,0.5,0.13
58523,06/08/2015,2555,KEOKUK,52632,56.0,Lee,1031080.0,VODKA 80 PROOF,434,36308,Hawkeye Vodka,1750,$7.17,$10.76,6,$64.56,10.5,2.77
260523,08/31/2015,4843,MUSCATINE,52761,70.0,Muscatine,1022100.0,TEQUILA,395,89191,Jose Cuervo Especial Reposado Tequila Mini,500,$11.50,$17.25,2,$34.50,1.0,0.26
102726,03/16/2016,4662,CEDAR RAPIDS,52405,57.0,Linn,1032080.0,IMPORTED VODKA,370,34006,Absolut Swedish Vodka 80 Prf,750,$11.49,$17.24,8,$137.92,6.0,1.59
192695,02/04/2016,4014,DENISON,51442,24.0,Crawford,1012100.0,CANADIAN WHISKIES,260,11296,Crown Royal,750,$15.00,$22.50,12,$270.00,9.0,2.38
6123,01/13/2015,4450,URBANDALE,50323,77.0,Polk,1031080.0,VODKA 80 PROOF,260,37994,Smirnoff Vodka 80 Prf,375,$4.75,$7.13,4,$28.52,1.5,0.4
96693,06/10/2015,4046,CENTERVILLE,52544,4.0,Appanoose,1022100.0,TEQUILA,395,89196,Jose Cuervo Especial Reposado Tequila,750,$10.49,$15.74,1,$15.74,0.75,0.2
210519,07/14/2015,4582,SPIRIT LAKE,51360,30.0,Dickinson,1011200.0,STRAIGHT BOURBON WHISKIES,55,21594,Ten High,375,$2.96,$4.44,3,$13.32,1.12,0.3
161106,01/21/2016,2561,DES MOINES,50321,77.0,Polk,1081200.0,CREAM LIQUEURS,305,73052,Rumchata,375,$7.42,$11.13,2,$22.26,0.75,0.2
151532,03/09/2015,3833,ATLANTIC,50022,15.0,Cass,1031080.0,VODKA 80 PROOF,297,35916,Five O'clock Vodka,750,$3.37,$5.06,24,$121.44,18.0,4.76
60474,06/04/2015,2515,MASON CITY,50401,17.0,Cerro Gordo,1031200.0,VODKA FLAVORED,380,42151,UV Ruby Red Grapefruit Mini,500,$4.90,$7.35,1,$7.35,0.5,0.13
213481,08/10/2015,2591,ATLANTIC,50022,15.0,Cass,1012100.0,CANADIAN WHISKIES,434,13638,Lord Calvert Canadian Whisky,1750,$9.97,$14.96,6,$89.76,10.5,2.77
34966,07/09/2015,4798,DES MOINES,50320,77.0,Polk,1011200.0,STRAIGHT BOURBON WHISKIES,65,19066,Jim Beam,750,$10.49,$15.74,12,$188.88,9.0,2.38
262430,07/20/2015,2506,BURLINGTON,52601,29.0,Des Moines,1011200.0,STRAIGHT BOURBON WHISKIES,65,19066,Jim Beam,750,$10.49,$15.74,12,$188.88,9.0,2.38
189894,04/08/2015,3842,BANCROFT,50517,55.0,Kossuth,1012210.0,SINGLE MALT SCOTCH,370,5036,Glenlivet 12 Yr Malt Scotch,750,$22.49,$33.74,1,$33.74,0.75,0.2
246019,04/15/2015,3932,MAPLETON,51034,67.0,Monona,1081390.0,IMPORTED SCHNAPPS,421,69637,Dr. Mcgillicuddy's Cherry Schnapps,1000,$11.00,$16.50,12,$198.00,12.0,3.17
32275,04/29/2015,4630,DAVENPORT,52803,82.0,Scott,1011100.0,BLENDED WHISKIES,65,22784,Beam's 8 Star Bl Whiskey,375,$2.09,$3.14,24,$75.36,9.0,2.38
71545,02/16/2016,3443,COUNCIL BLUFFS,51503,78.0,Pottawattamie,1031200.0,VODKA FLAVORED,205,40594,New Amsterdam Peach,750,$6.90,$10.35,12,$124.20,9.0,2.38
135623,12/15/2015,4173,PAULLINA,51046,71.0,O'Brien,1031200.0,VODKA FLAVORED,260,41078,Jeremiah Weed Sweet Tea Vodka,1750,$14.97,$22.46,1,$22.46,1.75,0.46
177777,06/17/2015,4200,SIOUX CITY,51108,97.0,Woodbury,1031080.0,VODKA 80 PROOF,380,37346,Phillips Vodka,750,$3.57,$5.36,12,$64.32,9.0,2.38
202941,12/07/2015,4312,COUNCIL BLUFFS,51501,78.0,Pottawattamie,1012200.0,SCOTCH WHISKIES,260,5329,Johnnie Walker Blue,750,$130.00,$195.00,1,$195.00,0.75,0.2
167105,12/07/2015,2517,NEWTON,50208,50.0,Jasper,1062200.0,PUERTO RICO & VIRGIN ISLANDS RUM,434,45278,Paramount White Rum,1750,$7.84,$11.76,6,$70.56,10.5,2.77
15198,03/30/2016,2642,PELLA,50219,63.0,Marion,1031080.0,VODKA 80 PROOF,55,35317,Barton Vodka,1000,$3.97,$5.96,12,$71.52,12.0,3.17
148056,12/10/2015,4959,CEDAR FALLS,50613,7.0,Black Hawk,1011300.0,TENNESSEE WHISKIES,85,86669,Jack Daniel's Tennessee Honey,375,$7.00,$10.50,24,$252.00,9.0,2.38
218062,01/14/2016,4190,JEFFERSON,50129,37.0,Greene,1012200.0,SCOTCH WHISKIES,55,8826,Lauder's Scotch,750,$5.13,$7.70,3,$23.10,2.25,0.59
105918,12/08/2015,2657,BEDFORD,50833,87.0,Taylor,1031200.0,VODKA FLAVORED,380,41693,Uv Blue (raspberry) Vodka,750,$6.50,$9.75,4,$39.00,3.0,0.79
107133,06/01/2015,4222,EVANSDALE,50707,7.0,Black Hawk,1012100.0,CANADIAN WHISKIES,260,10803,Crown Royal Regal Apple Mini,300,$7.35,$11.03,2,$22.06,0.6,0.16
11083,02/02/2016,4866,COUNCIL BLUFFS,51501,78.0,Pottawattamie,1031080.0,VODKA 80 PROOF,300,36904,Mccormick Vodka Pet,375,$1.80,$2.70,24,$64.80,9.0,2.38
80246,07/09/2015,4077,WATERLOO,50703,7.0,Black Hawk,1051100.0,APRICOT BRANDIES,115,56805,Paul Masson Red Berry Grande Amber Brandy,750,$6.29,$9.44,2,$18.88,1.5,0.4
256389,06/15/2015,4752,BURLINGTON,52655,29.0,Des Moines,1062310.0,SPICED RUM,259,43028,Admiral Nelson Spiced Rum,1750,$11.55,$17.33,6,$103.98,10.5,2.77
170344,07/15/2015,2290,STORM LAKE,50588,11.0,Buena Vista,1041100.0,AMERICAN DRY GINS,370,32231,Seagrams Extra Dry Gin Mini,500,$3.30,$4.95,12,$59.40,6.0,1.59
195150,09/22/2015,4431,FORT DODGE,50501,94.0,Webster,1031080.0,VODKA 80 PROOF,434,36304,Hawkeye Vodka,375,$2.07,$3.11,24,$74.64,9.0,2.38
56573,06/25/2015,4345,GRINNELL,50112,79.0,Poweshiek,1041100.0,AMERICAN DRY GINS,125,29812,Clearheart Gin,750,$12.30,$18.45,3,$55.35,2.25,0.59
144570,04/02/2015,4077,WATERLOO,50703,7.0,Black Hawk,1052010.0,IMPORTED GRAPE BRANDIES,420,48106,Hennessy Vs Cognac,750,$18.99,$28.49,12,$341.88,9.0,2.38
6044,07/20/2015,2633,DES MOINES,50320,77.0,Polk,1041100.0,AMERICAN DRY GINS,300,31167,McCormick Gin,1000,$4.13,$6.20,24,$148.80,24.0,6.34
65315,03/23/2016,2621,SIOUX CITY,51105,97.0,Woodbury,1062200.0,PUERTO RICO & VIRGIN ISLANDS RUM,434,45275,Paramount White Rum Traveler,750,$4.00,$6.00,12,$72.00,9.0,2.38
152336,09/16/2015,3980,IOWA CITY,52246,52.0,Johnson,1022100.0,TEQUILA,395,89197,Jose Cuervo Especial Reposado Tequila,1000,$12.50,$18.75,12,$225.00,12.0,3.17
174068,04/21/2015,3443,COUNCIL BLUFFS,51503,78.0,Pottawattamie,1051100.0,APRICOT BRANDIES,434,54446,Paramount Apricot Flavored Brandy,750,$5.48,$8.22,12,$98.64,9.0,2.38
144418,10/06/2015,4678,ADEL,50003,25.0,Dallas,1011100.0,BLENDED WHISKIES,260,25604,Seagrams 7 Crown Bl Whiskey,375,$3.50,$5.25,3,$15.75,1.12,0.3
213321,11/21/2015,2649,DUBUQUE,52001,31.0,Dubuque,1042100.0,IMPORTED DRY GINS,240,28625,Hendrick's Gin,750,$17.92,$26.88,4,$107.52,3.0,0.79
124436,06/04/2015,2515,MASON CITY,50401,17.0,Cerro Gordo,1071100.0,AMERICAN COCKTAILS,285,56958,Bartenders Hot Sex,1750,$9.31,$13.97,2,$27.94,3.5,0.92
85880,10/13/2015,2413,DUBUQUE,52001,31.0,Dubuque,1041100.0,AMERICAN DRY GINS,370,32236,Seagrams Extra Dry Gin,750,$6.49,$9.74,2,$19.48,1.5,0.4
183989,01/26/2015,2633,DES MOINES,50320,77.0,Polk,1041100.0,AMERICAN DRY GINS,260,30318,Gordon's Gin London Dry - Pet,1750,$11.00,$16.50,6,$99.00,10.5,2.77
212125,10/26/2015,2605,CEDAR RAPIDS,52402,57.0,Linn,1011100.0,BLENDED WHISKIES,260,27554,Seagrams Seven Crown Dark Honey,750,$7.00,$10.50,4,$42.00,3.0,0.79
226994,01/15/2016,4222,EVANSDALE,50707,7.0,Black Hawk,1062300.0,FLAVORED RUM,370,42718,Malibu Coconut Rum,1750,$16.49,$24.74,3,$74.22,5.25,1.39
56981,03/11/2015,4268,ALGONA,50511,55.0,Kossuth,1062310.0,SPICED RUM,260,43336,Captain Morgan Original Spiced,750,$9.00,$13.50,3,$40.50,2.25,0.59
70739,06/30/2015,2113,GOWRIE,50543,94.0,Webster,1031200.0,VODKA FLAVORED,260,77709,Smirnoff Peach,750,$8.25,$12.38,2,$24.76,1.5,0.4
60458,02/22/2016,3563,MUSCATINE,52761,70.0,Muscatine,1011200.0,STRAIGHT BOURBON WHISKIES,65,19066,Jim Beam,750,$10.49,$15.74,12,$188.88,9.0,2.38
243959,09/15/2015,3484,MARCUS,51035,18.0,Cherokee,1012300.0,IRISH WHISKIES,370,15627,Jameson,1000,$18.49,$27.74,1,$27.74,1.0,0.26
234976,12/17/2015,2616,CLINTON,52732,23.0,Clinton,1011300.0,TENNESSEE WHISKIES,85,26827,Jack Daniels Old #7 Black Lbl,1000,$18.38,$27.57,12,$330.84,12.0,3.17
91004,01/14/2015,2625,DAVENPORT,52804,82.0,Scott,1082900.0,MISC. IMPORTED CORDIALS & LIQUEURS,35,66836,St. Germain,750,$19.50,$29.25,6,$175.50,4.5,1.19
132295,07/13/2015,5031,RAYMOND,50667,7.0,Black Hawk,1012100.0,CANADIAN WHISKIES,260,10803,Crown Royal Regal Apple Mini,300,$7.35,$11.03,1,$11.03,0.3,0.08
244156,03/10/2015,4829,DES MOINES,50314,77.0,Polk,1011100.0,BLENDED WHISKIES,434,24157,Hawkeye Blend Whiskey,1000,$4.39,$6.59,24,$158.16,24.0,6.34
8361,11/30/2015,2588,CEDAR RAPIDS,52403,57.0,Linn,1031200.0,VODKA FLAVORED,380,41692,Uv Blue (raspberry) Vodka,1750,$10.99,$16.49,6,$98.94,10.5,2.77
144700,05/11/2015,3747,SIGOURNEY,52591,54.0,Keokuk,1062300.0,FLAVORED RUM,370,42718,Malibu Coconut Rum,1750,$16.49,$24.74,2,$49.48,3.5,0.92
82644,04/07/2015,4344,GRIMES,50111,77.0,Polk,1032080.0,IMPORTED VODKA,35,34359,Grey Goose Vodka,200,$5.00,$7.50,1,$7.50,0.2,0.05
221403,02/22/2016,2613,COUNCIL BLUFFS,51501,78.0,Pottawattamie,1062310.0,SPICED RUM,380,42984,Trader Vics Private Selection Spiced Rum,1750,$10.00,$15.00,6,$90.00,10.5,2.77
220511,03/18/2015,3773,CEDAR RAPIDS,52401,57.0,Linn,1062200.0,PUERTO RICO & VIRGIN ISLANDS RUM,35,43127,Bacardi Superior Rum,1000,$9.50,$14.25,12,$171.00,12.0,3.17
235733,11/12/2015,2587,JOHNSTON,50131,77.0,Polk,1062200.0,PUERTO RICO & VIRGIN ISLANDS RUM,35,43034,Bacardi Gold Rum,375,$4.50,$6.75,1,$6.75,0.38,0.1
110681,01/07/2015,3916,OTTUMWA,52501,90.0,Wapello,1081600.0,WHISKEY LIQUEUR,85,86881,Southern Comfort Mini,500,$4.71,$7.07,3,$21.21,1.5,0.4
90911,12/29/2015,3573,OTTUMWA,52501,90.0,Wapello,1031080.0,VODKA 80 PROOF,434,36308,Hawkeye Vodka,1750,$7.17,$10.76,6,$64.56,10.5,2.77
98012,12/28/2015,4205,MARSHALLTOWN,50158,64.0,Marshall,1071100.0,AMERICAN COCKTAILS,55,57125,Chi-Chi's Gold Margarita,1750,$6.00,$9.25,6,$55.50,10.5,2.77
115844,03/21/2016,2512,IOWA CITY,52240,52.0,Johnson,1011100.0,BLENDED WHISKIES,65,22787,Beam's 8 Star Bl Whiskey,1000,$4.46,$6.69,12,$80.28,12.0,3.17
243455,10/22/2015,2582,MASON CITY,50401,17.0,Cerro Gordo,1031200.0,VODKA FLAVORED,380,41698,Uv Ivory (vanilla) Vodka,750,$6.50,$9.75,4,$39.00,3.0,0.79
152016,09/14/2015,4315,WASHINGTON,52353,92.0,Washington,1062200.0,PUERTO RICO & VIRGIN ISLANDS RUM,35,43126,Bacardi Superior Rum,750,$8.26,$12.39,12,$148.68,9.0,2.38
90633,11/25/2015,4165,ANKENY,50023,77.0,Polk,1051110.0,BLACKBERRY BRANDIES,434,55086,Paramount Blackberry Brandy,750,$5.48,$8.22,1,$8.22,0.75,0.2
148685,03/18/2015,2621,SIOUX CITY,51105,97.0,Woodbury,1062310.0,SPICED RUM,434,44658,Lady Bligh Spiced Rum,1750,$11.00,$16.50,6,$99.00,10.5,2.77
163472,03/01/2016,4006,LARCHWOOD,51241,,,1062300.0,FLAVORED RUM,370,42717,Malibu Coconut Rum,1000,$10.49,$15.74,12,$188.88,12.0,3.17
44688,09/15/2015,2606,HUMBOLDT,50548,46.0,Humboldt,1031080.0,VODKA 80 PROOF,260,37997,Smirnoff Vodka 80 Prf,1000,$9.25,$13.88,12,$166.56,12.0,3.17
194948,02/11/2015,3990,OSKALOOSA,52577,62.0,Mahaska,1031080.0,VODKA 80 PROOF,434,36307,Hawkeye Vodka,1000,$4.05,$6.08,12,$72.96,12.0,3.17
39228,09/14/2015,2605,CEDAR RAPIDS,52402,57.0,Linn,1011200.0,STRAIGHT BOURBON WHISKIES,259,17956,Evan Williams Str Bourbon,750,$7.47,$11.21,12,$134.52,9.0,2.38
84262,05/12/2015,3629,COUNCIL BLUFFS,51503,78.0,Pottawattamie,1062310.0,SPICED RUM,260,43338,Captain Morgan Spiced Rum,1750,$18.00,$27.00,12,$324.00,21.0,5.55
214831,07/08/2015,4432,CORALVILLE,52241,52.0,Johnson,1012100.0,CANADIAN WHISKIES,260,11294,Crown Royal Canadian Whisky,375,$7.75,$11.63,8,$93.04,3.0,0.79
98622,02/24/2016,2853,AMES,50014,85.0,Story,1031200.0,VODKA FLAVORED,205,40599,New Amsterdam Red Berry,750,$6.90,$10.35,6,$62.10,4.5,1.19
155108,07/13/2015,3917,DAVENPORT,52804,82.0,Scott,1062310.0,SPICED RUM,260,43333,Captain Morgan Spiced Rum Pet,200,$2.13,$3.20,10,$32.00,2.0,0.53
29432,03/07/2016,2507,BURLINGTON,52601,29.0,Des Moines,1051010.0,AMERICAN GRAPE BRANDIES,115,53216,Paul Masson Grande Amber Brandy,750,$6.29,$9.44,12,$113.28,9.0,2.38
148232,06/29/2015,3625,ANKENY,50021,77.0,Polk,1012200.0,SCOTCH WHISKIES,55,8828,Lauder's,1750,$11.18,$16.77,6,$100.62,10.5,2.77
40727,11/05/2015,2248,DES MOINES,50312,77.0,Polk,1052010.0,IMPORTED GRAPE BRANDIES,420,48099,Hennessy VS,200,$5.65,$8.48,6,$50.88,1.2,0.32
194092,01/05/2016,2529,CEDAR RAPIDS,52405,57.0,Linn,1062310.0,SPICED RUM,260,43331,Captain Morgan Spiced Rum Mini,500,$4.80,$7.20,1,$7.20,0.5,0.13
86325,01/05/2015,2963,CLIVE,50325,77.0,Polk,1062200.0,PUERTO RICO & VIRGIN ISLANDS RUM,35,43126,Bacardi Superior Rum,750,$8.00,$12.00,12,$144.00,9.0,2.38
63726,02/17/2015,3774,DUBUQUE,52001,31.0,Dubuque,1031080.0,VODKA 80 PROOF,297,35914,Five O'clock Vodka,375,$1.93,$2.90,24,$69.60,9.0,2.38
86500,03/03/2016,2248,DES MOINES,50312,77.0,Polk,1011200.0,STRAIGHT BOURBON WHISKIES,373,18906,J.R. Ewing Private Reserve,750,$16.00,$24.00,12,$288.00,9.0,2.38
189434,11/09/2015,3563,MUSCATINE,52761,70.0,Muscatine,1081200.0,CREAM LIQUEURS,260,68022,Bailey's Salted Caramel,750,$13.49,$20.24,12,$242.88,9.0,2.38
242043,03/21/2016,2517,NEWTON,50208,50.0,Jasper,1011200.0,STRAIGHT BOURBON WHISKIES,85,17830,Early Times 36 Mo Ky Str Bourbon Pet,1750,$13.22,$19.83,6,$118.98,10.5,2.77
109408,06/15/2015,2527,DES MOINES,50315,77.0,Polk,1082900.0,MISC. IMPORTED CORDIALS & LIQUEURS,420,65126,Grand Marnier Cordon Rouge,750,$23.31,$34.97,2,$69.94,1.5,0.4
213386,03/22/2016,3420,WINDSOR HEIGHTS,50311,77.0,Polk,1022100.0,TEQUILA,55,89577,Montezuma Gold Tequila,1000,$7.02,$10.53,24,$252.72,24.0,6.34
269179,02/29/2016,5071,DURANT,52747,16.0,Cedar,1031080.0,VODKA 80 PROOF,380,37348,Phillips Vodka,1750,$7.60,$11.40,6,$68.40,10.5,2.77
96868,09/16/2015,3943,NEVADA,50201,85.0,Story,1031080.0,VODKA 80 PROOF,205,36969,New Amsterdam Vodka,750,$6.90,$10.35,2,$20.70,1.5,0.4
163509,07/23/2015,3769,CEDAR FALLS,50613,7.0,Black Hawk,1081330.0,PEACH SCHNAPPS,65,82846,Dekuyper Luscious Peachtree Schnapps,750,$6.30,$9.45,12,$113.40,9.0,2.38
164227,02/22/2016,2558,MOUNT PLEASANT,52641,44.0,Henry,1012100.0,CANADIAN WHISKIES,65,15248,Windsor Canadian Pet,1750,$9.45,$14.18,6,$85.08,10.5,2.77
263073,02/09/2016,4866,COUNCIL BLUFFS,51501,78.0,Pottawattamie,1011100.0,BLENDED WHISKIES,297,23824,Five Star,375,$2.00,$3.00,4,$12.00,1.5,0.4
93954,01/07/2016,3997,OSCEOLA,50213,20.0,Clarke,1081330.0,PEACH SCHNAPPS,65,82846,Dekuyper Luscious Peachtree Schnapps,750,$6.30,$9.45,12,$113.40,9.0,2.38
269651,12/10/2015,2515,MASON CITY,50401,17.0,Cerro Gordo,1012300.0,IRISH WHISKIES,370,15627,Jameson,1000,$18.49,$27.74,4,$110.96,4.0,1.06
130498,01/29/2015,4988,CEDAR FALLS,50613,7.0,Black Hawk,1081600.0,WHISKEY LIQUEUR,260,67267,Yukon Jack Canadian Liqueur,1000,$11.75,$17.63,2,$35.26,2.0,0.53
114763,07/13/2015,2528,DES MOINES,50315,77.0,Polk,1031080.0,VODKA 80 PROOF,205,36968,New Amsterdam Vodka,375,$3.50,$5.25,24,$126.00,9.0,2.38
177767,07/14/2015,3495,MONTICELLO,52310,53.0,Jones,1081600.0,WHISKEY LIQUEUR,260,67266,Yukon Jack Canadian Liqueur,750,$9.25,$13.88,6,$83.28,4.5,1.19
61803,05/22/2015,2560,MARION,52302,57.0,Linn,1081330.0,PEACH SCHNAPPS,65,82846,Dekuyper Luscious Peachtree Schnapps,750,$6.30,$9.45,6,$56.70,4.5,1.19
85741,02/24/2016,2113,GOWRIE,50543,94.0,Webster,1042100.0,IMPORTED DRY GINS,260,28867,Tanqueray Gin,1000,$15.50,$23.25,2,$46.50,2.0,0.53
42952,01/22/2015,2561,DES MOINES,50321,77.0,Polk,1031110.0,LOW PROOF VODKA,65,40570,Skinnygirl Bare Naked,750,$10.49,$15.74,2,$31.48,1.5,0.4
267184,08/19/2015,2576,STORM LAKE,50588,11.0,Buena Vista,1031080.0,VODKA 80 PROOF,260,36186,Gordon's Vodka 80 Prf,750,$5.26,$7.89,2,$15.78,1.5,0.4
42747,02/03/2016,4841,DAVENPORT,52804,82.0,Scott,1031080.0,VODKA 80 PROOF,300,36904,Mccormick Vodka Pet,375,$1.80,$2.70,24,$64.80,9.0,2.38
188056,06/24/2015,5151,IDA GROVE,51445,47.0,Ida,1032200.0,IMPORTED VODKA - MISC,65,34395,Effen Cucumber,750,$13.64,$20.46,1,$20.46,0.75,0.2
99895,06/26/2015,5142,CEDAR RAPIDS,52303,57.0,Linn,1031080.0,VODKA 80 PROOF,260,37991,Smirnoff Vodka 80 Prf Mini,500,$7.47,$11.21,1,$11.21,0.5,0.13
266593,10/27/2015,4177,LE GRAND,50142,64.0,Marshall,1082900.0,MISC. IMPORTED CORDIALS & LIQUEURS,192,65254,Jagermeister Liqueur,375,$6.52,$9.78,2,$19.56,0.75,0.2
182968,01/20/2016,2572,CEDAR FALLS,50613,7.0,Black Hawk,1012200.0,SCOTCH WHISKIES,370,4716,Chivas Regal 12 Yr,750,$18.49,$27.74,2,$55.48,1.5,0.4
157151,08/11/2015,3676,GREENE,50636,12.0,Butler,1022100.0,TEQUILA,395,89197,Jose Cuervo Especial Reposado Tequila,1000,$12.50,$18.75,2,$37.50,2.0,0.53
97465,04/30/2015,3670,CORALVILLE,52241,52.0,Johnson,1031080.0,VODKA 80 PROOF,380,37348,Phillips Vodka,1750,$7.60,$11.40,12,$136.80,21.0,5.55
71430,01/19/2016,2651,WAVERLY,50677,9.0,Bremer,1082900.0,MISC. IMPORTED CORDIALS & LIQUEURS,192,65253,Jagermeister Liqueur,200,$3.51,$5.27,2,$10.54,0.4,0.11
240231,12/23/2015,4988,CEDAR FALLS,50613,7.0,Black Hawk,1032080.0,IMPORTED VODKA,35,34423,Grey Goose Vodka,375,$9.00,$13.50,4,$54.00,1.5,0.4
100060,07/20/2015,4843,MUSCATINE,52761,70.0,Muscatine,1082900.0,MISC. IMPORTED CORDIALS & LIQUEURS,192,65253,Jagermeister Liqueur,200,$3.51,$5.27,48,$252.96,9.6,2.54
